SecurityID,Date,Price,Volume,TotalReturn,splitAdj,SharesOutstanding,Adj,cap,Y,cap_rank
213638,2020-12-31,51,13282786,-0.0404519997537136,1,1848070,1,94251570,2020,87
111668,2009-12-31,33.1300010681152,7487526,-0.00867700017988682,2,2840648,3.69004607200623,94110671.2741394,2009,24
102822,2015-12-31,119.76000213623,3550976,-0.00762300007045269,24,785655,24,94090044.4783401,2015,47
102349,1997-12-31,94.625,1693100,-0.0059090000577271,2,994278,2.1238911151886,94083555.75,1997,12
105759,2004-12-31,42.7400016784668,3696500,-0.00419399980455637,4.5,2195955,4.70491600036621,93855120.3858376,2004,23
106369,2022-12-30,265.350006103516,871344,-0.00911200046539307,4.5,353385,4.5,93770711.9068909,2022,86
102796,2017-12-29,157.580001831055,2615831,-0.00530199985951185,4,594934,7.07321310043335,93749700.8093567,2017,60
105243,2017-12-29,71.6399993896484,7369741,-0.0115890000015497,32,1306269,34.0935783386231,93581110.3627167,2017,61
106967,2015-12-31,84.2600021362305,3178502,-0.0225060004740953,2,1108077,3.5984001159668,93366570.3871078,2015,48
109956,2017-12-29,67.3899993896484,5918786,-0.00103799998760223,4,1385262,5.56247615814209,93352805.3345032,2017,62
107616,2013-12-31,140.25,1846529,0.00595299992710352,2,665242,3.0853590965271,93300190.5,2013,43
108965,2019-12-31,49.9099998474121,5981722,0.000400999997509643,3,1868130,45.4472999572754,93238368.014946,2019,73
103749,1998-12-31,73.1875,7573000,-0.000852999975904822,16,1272253,16,93113016.4375,1998,25
106967,2017-12-29,84.4599990844727,2563826,-0.0069369999691844,2,1101095,3.79127502441406,92998482.6919174,2017,63
108965,2018-12-31,49.3899993896484,9726410,0.0102270003408194,3,1879050,42.5415496826172,92806278.3531189,2018,54
107616,2015-12-31,150.639999389648,1607102,-0.0083600003272295,2,615713,3.24314188957214,92751005.9441986,2015,49
102265,2014-12-31,129.979995727539,2712290,-0.01403299998492,2,712930,2.85157704353333,92666638.3540344,2014,51
104866,2019-12-31,59.2900009155274,4731983,0.00202800007537007,9,1561860,17.8423099517822,92602680.8299255,2019,74
110578,2022-12-30,244.490005493164,690293,-0.00411400012671948,8,378430,9.92560195922852,92522352.7787781,2022,87
105759,2012-12-31,61.8499984741211,7880740,0.01978600025177,4.5,1495179,5.78900384902954,92476818.8685379,2012,31
111861,2015-12-31,85.1549987792969,2528739,-0.014295999892056,4,1085656,5.05529594421387,92449035.3547363,2015,50
102968,2003-12-31,86.3899993896484,2691100,0.00383500009775162,1,1068959,1.29685199260712,92347367.3575592,2003,22
109348,2011-12-30,54.7000007629395,4840467,-0.00273500010371208,16,1686575,17.857400894165,92255653.7867546,2011,26
105700,2010-12-31,42.0999984741211,7473404,-0.00378599995747209,4,2190426,5.89496803283691,92216931.2576752,2010,28
110578,2020-12-31,245.039993286133,639945,0.0123110003769398,8,375791,9.70571899414062,92083824.1169891,2020,88
107010,2017-12-29,321.049987792969,731143,-0.00325999991036952,2,286734,3.37849402427673,92055947.1998291,2017,64
108965,1996-12-31,113,1610800,-0.0141770001500845,1,814399,1.04431295394897,92027087,1996,8
109956,2012-12-31,69.2985992431641,6375964,0.0196969993412495,4,1327570,4.97695398330689,91998741.3972473,2012,32
110752,2022-12-30,79.5999984741211,3074086,0.0032770000398159,32,1155500,42.8275299072266,91977798.2368469,2022,88
111459,2018-12-31,106.480003356934,4436330,0.0108219999819994,8,863384,12.4760799407959,91933131.2183228,2018,55
107045,2019-12-31,119.76000213623,2651251,-0.00241600000299513,8,766475,10.4067001342773,91793047.6373672,2019,75
135403,2009-12-31,48.189998626709,4383062,-0.00965899974107742,1,1904685,1.08601605892181,91786767.5343132,2009,25
109956,2011-12-30,68.3099975585938,5536328,0.0133509999141097,4,1342126,4.90061902999878,91680623.7833252,2011,27
111089,2016-12-30,49.3400001525879,755835,-0.00161899998784065,4,1857587,7.68396902084351,91653342.8634453,2016,51
112254,2022-12-30,220.600006103516,1227316,-0.0066639999859035,3,415050,5.14648008346558,91560032.5332642,2022,89
105169,2022-12-30,83.7900009155274,4127747,0.000478000001749024,0.75,1092670,1.50753700733185,91554820.3003693,2022,90
109820,2010-12-31,125.75,91263461,0.000239000000874512,1,727730,1.28835201263428,91512047.5,2010,29
109182,2020-12-31,2227.27001953125,176624,0.00998099986463785,0.166666597127914,40955,0.166666597127914,91217843.6499023,2020,89
107318,2014-12-31,93.6999969482422,4589288,-0.00583600020036101,2,973204,2.91504406929016,91189211.8300171,2014,52
115247,2022-12-30,66.6500015258789,4335264,-0.00477800006046891,1,1365620,2.58912992477417,91018575.0837707,2022,91
111089,2018-12-31,49.7200012207031,1262852,0.00403899978846312,4,1830400,8.30559062957764,91007490.234375,2018,56
110972,2018-12-31,94.5,4113248,0.00735499989241362,8,960543,10.9890604019165,90771313.5,2018,57
105329,2020-12-31,263.709991455078,2043050,0.0164190009236336,1,344068,1.28120195865631,90734169.3399658,2020,90
111459,2016-12-30,109.620002746582,2200540,-0.00841199979186058,8,823406,11.9261703491211,90261767.9815521,2016,52
110991,2018-12-31,223.789993286133,1640020,0.00602399976924062,1.5,402576,1.80180895328522,90092480.3371582,2018,58
109775,2002-12-31,27.1100006103516,5713000,-0.00586700020357966,2,3320203,2.40668702125549,90010705.3564911,2002,18
112865,2018-12-31,141.009994506836,1826426,0.00851100031286478,1,637449,1.29118597507477,89886679.9883881,2018,59
103466,2018-12-31,203.710006713867,1729647,0.00826600007712841,2,440490,2.71198701858521,89732220.8573914,2018,60
102822,2016-12-30,115.75,2988222,-0.0100919995456934,24,775203,24,89729747.25,2016,53
110611,2000-12-29,27.875,35479500,-0.0367339998483658,16,3218354,16,89711617.75,2000,27
107704,2000-12-29,79.25,3001900,-0.00157500000204891,6.59999990463257,1131822,7.00961494445801,89696893.5,2000,28
107747,1999-12-31,147.25,622200,-0.00169499998446554,1,609094,1.03163194656372,89689091.5,1999,29
108505,2008-12-31,17.7299995422363,23403070,-0.00560900010168552,13.5,5046177,13.5,89468715.9000435,2008,18
102583,2020-12-31,68.3000030517578,5386942,0.00811799988150597,4,1308910,5.5089898109436,89398556.9944763,2020,91
102822,2014-12-31,111.860000610352,3434024,-0.0147970002144575,24,798704,24,89343029.9274902,2014,53
111861,2016-12-30,82.7600021362305,3343578,-0.00862499978393316,4,1079089,5.14851903915405,89305407.9451828,2016,54
122337,2018-12-31,48.1199989318848,4670776,0.00312700006179512,2,1855490,2.75437307357788,89286176.8181229,2018,61
110472,2015-12-31,60.0299987792969,4960875,-0.0129890004172921,16,1484800,17.4104499816895,89132542.1875,2015,51
129751,2022-12-30,74.1900024414063,3908428,-0.00749199977144599,1,1199290,2.3755989074707,88975328.0279541,2022,92
104866,2017-12-29,53.5800018310547,3949804,-0.00685800006613135,9,1659491,16.8620796203613,88915530.8186188,2017,65
111860,1997-12-31,39.4375,1913500,-0.0047320001758635,1,2253459,1.01634502410889,88870789.3125,1997,13
108505,2006-12-29,17.1399993896484,23591280,-0.0034880000166595,13.5,5182191,13.5,88822750.5770416,2006,29
122338,2018-12-31,47.7799987792969,3807018,0.00335999997332692,2,1855490,2.64011406898499,88655309.9349976,2018,62
107318,2012-12-31,88.2099990844727,6237535,0.00719300005584955,2,1003977,2.72854995727539,88560810.2508316,2012,33
